trip_id_unique,trip_duration_in_minutes
110518b,90.52984
110519b,-3.200288
110520b,60.257797
110524b,69.65837
110525b,70.270325
110527b,228.52112
110528b,916.83496
110530b,63.08025
110531b,93.04348
110535c,94.73499
110536c,74.85532
110543b,107.45573
110545b,96.38558
110551c,58.337948
110554b,84.3702
110555c,101.293755
110556c,49.48225
110557c,145.68643
110564b,189.33957
110565b,57.302128
110566b,51.95868
110567b,195.30377
110567c,58.687145
110568b,60.91551
110570b,1156.2283
110571b,77.26204
110572c,62.75888
110574c,38.11982
110576c,53.278294
110620c,78.93622
110621c,97.895355
110636b,85.20568
110660c,94.26326
110662c,60.384598
110663c,60.327404
110664c,96.628395
110665c,118.9932
110666c,64.29949
110680c,301.4026
110681c,133.52774
110687c,113.16596
110688c,92.2156
110689c,80.21312
110690c,111.363976
110691c,89.36436
110692c,290.68283
110693c,81.11647
110694c,68.391335
110705a,66.915436
110710a,69.220665
110714b,92.64273
110716b,77.56706
110717b,222.4732
110718b,209.55167
110720b,49.747738
110721b,44.45261
110722b,72.516884
110723b,46.640446
110724b,73.29245
110725b,87.938324
110727b,71.53993
110728b,69.43271
110729b,63.476295
110730b,140.03596
110733b,98.42229
110734b,116.55763
110735b,229.99738
110736b,304.65262
110737b,46.678562
110741b,78.39214
110745b,60.007786
110746b,69.17455
110750b,72.638916
110751b,17.953854
110753b,89.62011
110755c,100.99727
110757c,322.2528
110758c,74.281784
110762c,71.04814
110763c,121.13887
110792b,71.19615
110803c,61.16639
110806c,93.59349
110808c,88.25072
110810c,71.4634
110811c,127.412834
110813c,106.22043
110815c,59.691185
110816c,80.110306
110817c,111.09842
110821c,87.3006
110822c,72.05368
110823c,89.81514
110824c,508.24655
110825c,144.12129
110826c,88.125
110827c,74.39717
110829b,219.79109
110830b,72.05476
110831b,70.009544
110832b,106.4959
110833b,215.40585
110834c,151.20987
110836b,73.049995
110837b,70.14049
110837c,63.830822
110839b,108.77072
110840b,586.39044
110841b,624.06006
110843b,88.20393
110850b,78.38532
110851b,65.11205
110852b,69.31748
110859c,38.022194
110861c,82.60209
110864c,133.43015
110866c,31.77549
110867c,221.76053
110868c,38.69534
110895c,82.92179
110898c,49.46881
110901c,205.56352
110903c,54.89327
110905c,98.97809
110906c,58.016876
110910b,84.016266
110910c,90.816605
110911b,71.148575
110912b,81.68564
110912c,31.503363
110913b,68.2674
110917b,66.333534
110918b,76.58953
110919b,127.54906
110920b,588.231
110921b,62.35688
110922b,60.684776
110938b,76.07333
110939b,80.13866
110940b,75.31099
110942b,60.39791
110948b,88.17621
110949b,48.261673
110950b,76.158806
110953b,77.28913
110953c,121.870575
110954c,67.488556
110957c,76.301056
110958c,72.81339
110959b,115.268906
110964b,68.60477
110965b,83.51968
110973c,824.58246
110974c,70.96139
110975c,75.36622
110976c,51.45536
110977c,86.161385
110993c,76.41296
110994c,523.24475
110995c,121.333305
110996c,80.44613
110997c,66.945595
111014c,53.852257
111026b,261.6077
111083c,87.870155
111099c,63.88686
111100c,56.977882
111103c,63.18748
111104c,61.00982
111113c,53.350487
111114c,89.52916
111118c,85.50686
111119c,85.817894
111120c,55.384552
111121c,69.7808
111143c,94.92666
111144c,90.22723
111146c,115.98278
111152c,86.68774
111153c,69.30866
111154c,145.98958
111209c,99.3204
111210c,91.04913
111213c,86.93578
111214c,87.94145
111215c,582.75433
111216c,47.071213
111217c,85.48009
111221c,59.06875
111230c,93.56746
111231c,56.726334
111233c,69.91
111234c,100.071754
111235c,59.81093
111236b,70.31883
111236c,82.55524
111237b,102.34657
111237c,817.84595
111239b,69.407036
111242b,97.3649
111243b,111.06589
111245b,81.42275
111246b,121.79081
111253b,61.164684
111266b,83.183624
111267b,70.44135
111268b,65.64436
111269b,71.974686
111270b,73.500046
111272b,72.638405
111274b,64.493965
111275b,215.75327
111276b,65.959946
111277a,59.926502
111277b,71.29045
111278b,89.7088
111279b,108.42435
111284b,67.27269
111285b,93.539375
111286b,111.87075
111302c,401.37073
111304c,87.006035
111306c,96.60595
111307c,56.075054
111308c,98.43928
111309b,44.845398
111309c,68.57527
111310c,82.6689
111311c,73.54533
111313c,49.794365
111314c,55.141617
111316b,47.2895
111316c,60.74957
111317b,81.36125
111318b,74.74408
111320b,207.39847
111326b,43.905884
111328b,54.628246
111333b,70.5781
111334b,72.04782
111335c,507.84677
111337c,77.53012
111338c,69.39208
111339c,53.802708
111341c,301.25327
111342c,64.83309
111346c,121.34934
111349b,58.642376
111351b,81.80369
111367c,75.00251
111368c,73.28057
111369c,45.23026
111371c,59.180588
111372c,32.77919
111373c,108.27796
111375b,145.30328
111376b,110.98284
111377b,645.8394
111380b,76.29856
111395b,47.417572
111396b,-47.585682
111396c,84.40651
111397b,1050.6141
111397c,70.04688
111398b,497.7369
111398c,105.969025
111399c,88.353355
111400c,65.24626
111402c,834.8303
111403b,707.166
111404b,601.83746
111410b,482.33508
111411b,59.517845
111413b,67.63111
111419b,157.13857
111421b,82.15888
111422b,368.9453
111423b,1063.1051
111437b,69.99973
111443c,58.541943
111446c,116.35914
111447c,76.885056
111448c,95.898476
111449b,26.555916
111449c,70.65808
111450b,107.102486
111453b,907.1701
111454b,56.663715
111456b,305.89114
111457b,78.2244
111457c,85.23152
111458b,75.07002
111459b,74.71902
111462b,179.56523
111463b,81.30985
111467b,71.495636
111468b,87.157166
111469b,58.42249
111471b,65.302605
111473b,321.0682
111474b,87.98742
111480b,70.2134
111483b,107.51657
111484b,562.444
111498a,72.19288
111519b,75.578064
111520b,86.04339
111522b,-19.348589
111539b,49.960762
111540b,1086.6526
111541b,49.40161
111542b,317.10608
111634b,156.56561
111637b,146.5728
111638b,155.951
111639b,69.25492
111640b,105.294044
111642b,321.12164
111643b,127.08758
111644b,82.94029
111647c,259.23126
111648c,67.592
111650c,72.40494
111654c,27.188572
111661b,80.61119
111665b,55.322815
111666b,75.7912
111668b,77.20751
111669b,85.575165
111670b,82.80923
111671b,8.606493
111676b,99.37152
111682b,88.63938
111689c,53.274452
111690b,54.387592
111690c,49.229336
111691c,87.61743
111692b,67.95941
111692c,108.62255
111693b,84.95788
111693c,73.825806
111694c,59.335323
111695b,61.116085
111696b,70.62018
111697b,93.18588
111697c,61.22945
111700c,76.81673
111706c,63.954956
111707c,72.66063
111709c,51.047424
111711c,263.2745
111712c,82.460075
111713c,120.53094
111724c,84.47581
111739c,47.106976
111740c,68.03875
111742c,96.19198
111743b,58.05186
111744c,96.782135
111753b,101.19942
111756b,687.3128
111757b,76.51141
111758b,62.553726
111760b,97.705536
111768b,77.002914
111771b,74.69874
111775b,57.549206
111776b,58.62685
111777b,62.70911
111778b,63.03278
111781b,120.97345
111787c,74.07378
111788c,18.193144
111800c,77.46717
111801c,76.947365
111802c,141.42966
111804c,86.07061
111805c,53.821552
111806c,64.71602
111807c,84.13915
111808c,119.43929
111809c,68.22176
111810c,94.10346
111812c,68.00533
111813c,23.773468
111817c,509.69217
111818c,234.91855
111819a,66.959045
111823c,68.067345
111824c,64.51883
111856b,144.78873
111858b,225.91985
111860b,33.857746
111861b,77.54849
111862b,57.919437
111863b,502.94724
111867b,304.65262
111868b,54.031174
111869b,67.940636
111870b,62.689026
111871b,67.055374
111872b,91.85601
111875b,507.81058
111876b,65.80946
111877b,107.13546
111878b,139.25618
111879b,115.49526
111880b,75.08393
111881b,197.6122
111882b,116.19808
111884b,49.11461
111887b,59.443386
111889b,51.549797
111905c,72.64138
111913c,23.450726
111914c,74.10389
111915c,171.12656
111916c,64.981316
111919b,716.56793
111938b,717.56866
111938c,51.003593
111939c,49.467808
111940b,826.31256
111941b,239.43976
111943b,49.783802
111944b,27.96145
111944c,57.50413
111945c,92.7606
111947b,106.66497
111948b,118.15397
111949b,61.54117
111953b,80.09423
111954c,69.34758
111955c,75.41164
111958b,90.53948
111963b,121.27238
111964b,112.472565
111965b,71.85279
111966b,65.332535
111972b,1071.5706
111974b,39.36028
111978b,73.31812
111987b,68.61655
111988b,79.964745
111989b,65.287285
111990b,66.00203
112007c,53.803318
112008a,80.94598
112008c,240.84225
112009c,71.91881
112011c,305.13013
112012a,73.31006
112012c,51.42956
112013c,78.34789
112015c,97.1973
112018c,68.79988
112019a,113.62666
112022a,77.708626
112026c,82.45746
112028c,126.99135
112034c,84.16819
112037c,60.720856
112039c,117.13714
112041c,843.7952
112042c,83.923065
112048b,83.49833
112071c,88.26139
112073c,95.62464
112074c,60.179623
112081c,66.706604
112096c,72.53957
112158b,99.31072
112159c,82.49791
112161c,254.66527
112162c,89.843
112164c,75.75409
112170c,73.22449
112171c,53.568275
112174c,65.72109
112176b,68.98135
112177b,428.47354
112182b,116.89443
112183b,183.42001
112186b,39.996895
112231c,66.2862
112234c,48.49032
112235c,78.739174
112291b,44.301083
112300c,137.84909
112345c,71.54549
112346c,96.454155
112348c,101.306
112350c,71.12695
112394c,79.82212
112395c,77.30607
112399c,69.9357
112401c,40.893944
112417c,236.13
112438c,47.318577
112439c,63.449074
112440c,58.9123
112465c,57.310524
112466c,137.59064
112470c,1145.4886
112489c,89.15165
112490c,65.376724
112492c,72.33046
112493c,81.49752
112494c,42.644478
112495c,134.30324
112501c,88.841896
112504c,83.69121
112510c,77.1969
112512c,54.255177
112513c,60.59693
112542c,173.74982
112595c,55.27155
112596c,31.064379
112598c,64.13177
112599c,26.959974
112600c,207.7377
112601c,130.01215
112603c,68.37188
112605c,86.38692
112606c,53.786377
112608c,216.99522
112609c,136.75392
112640c,84.60635
112645c,96.68318
112646c,846.9014
112690a,86.24997
112733c,81.56043
112734c,70.24627
112740c,54.28656
112752c,76.88071
112753c,71.503624
112757c,99.62448
112758c,73.94136
112761c,102.63143
112762c,248.66992
112764c,81.451294
112773c,37.626392
112774c,111.15772
112776c,69.2615
112798c,297.2957
112800c,60.217335
112804c,63.801888
112817c,69.644585
112865c,53.656982
112866c,52.43184
112956c,87.903786
112957c,74.57877
112958c,503.97708
112959c,56.856297
112961c,74.442894
112962c,62.382908
112963c,73.84094
112975a,62.985756
113097c,262.28482
113098c,82.045784
113100c,81.33408
113105c,109.82223
113207c,61.45277
113210c,88.49663
113237c,30.427515
113239c,45.277534
113240c,38.83989
113281a,31.089272
113285a,94.86188
113354c,88.82851
113355c,92.17564
113360c,77.89656
113362c,72.973854
113363c,88.66683
113364c,74.85749
113387c,74.46144
113391c,86.04477
113392c,63.153698
113401c,72.963615
113412a,254.84009
113482a,90.10241
113489a,80.457405
113495a,307.7255
113508a,73.37088
113540c,125.429016
113542c,113.346214
113543c,68.49082
113548c,221.54982
113549c,61.55421
113554c,46.459698
113557c,86.28081
113559c,56.801933
113560c,96.99599
113561c,84.35242
113562c,68.93312
113564c,54.565067
113565c,67.8553
113567c,61.986374
113568c,47.990505
113569c,50.8658
113570c,111.37975
113571c,69.55652
113579c,65.22462
113582c,167.18005
113583c,55.515556
113585c,96.03962
113589c,49.312588
113590c,84.60851
113592c,114.12948
113593c,91.99488
113659c,68.45731
113660c,24.36052
113661c,187.78526
113734c,300.7385
113735c,308.66553
113764c,116.56758
113766c,88.08138
113768c,76.032585
113769c,72.83923
113773c,75.63135
113813c,69.170235
113816c,77.545204
113818c,168.02216
113819c,149.5307
113844c,91.57706
113845c,82.881935
113846c,52.219048
113847c,79.90541
113848c,114.709885
113849c,-15.843106
113853c,61.27631
113854c,873.1456
113855c,333.90805
113921c,62.138035
113922c,120.83806
113923c,63.153698
113924c,68.8392
113925c,134.46321
113926c,595.58417
113927c,63.086605
113966c,68.79841
113967c,90.204666
113970c,94.91318
113971c,58.248936
113973c,114.38189
113974c,112.50058
113976c,84.5587
113977c,76.671135
113978c,31.535446
113980c,110.31617
114055c,60.6587
114056c,147.3791
114057c,100.83354
114059c,87.68048
114125c,101.06686
114126c,72.31728
114135c,92.32059
114136c,47.54069
114137c,97.71566
114140c,109.723946
114142a,54.37308
114178a,84.02136
114195c,59.416473
114196c,84.00645
114197c,137.86876
114198c,101.85625
114199c,120.86214
114200c,79.0504
114201c,147.36707
114202c,73.49316
114203c,89.0186
114205c,119.337654
114207c,78.8436
114208c,65.208145
114210c,140.93819
114212c,58.292458
114215c,105.13342
114216c,84.44384
114217c,94.47107
114218c,65.66489
114222c,216.72696
114225c,58.91147
114261c,73.73769
114264c,94.76389
114296c,92.991104
114297c,101.451416
114298c,80.66375
114326c,84.11295
114327c,85.81506
114335c,86.40753
114373c,63.447098
114374c,103.79973
114375c,89.19623
114377c,921.9178
114378c,98.79506
114398a,61.098
114468c,117.47228
114469c,74.9251
114470c,60.834652
114479c,88.78603
114499c,81.05345
114500c,240.17133
114501c,97.817116
114505c,60.53833
114509c,88.994736
114512c,53.049976
114513c,50.65223
114534c,94.58446
114535c,76.74078
114536c,63.31027
114537c,61.659306
114538c,201.33133
114539c,77.01351
114541c,77.192345
114542c,499.43942
114547c,534.4239
114588c,97.20296
114589c,75.24542
114590c,169.69716
114619c,116.882645
114656c,169.76836
114657c,89.43016
114663c,127.13201
114665c,103.21627
114667a,420.3143
114738c,67.85797
114740c,5.4804897
114748a,99.567184
114749c,78.229355
114751c,53.672913
114752c,85.262566
114753c,94.05506
114755c,52.441067
114756c,103.39779
114768c,61.19928
114772c,62.5219
114775c,71.242
114796c,55.811356
114797c,64.746254
114798c,217.77428
114799c,124.53563
114803c,199.40245
114805c,168.31216
114823c,72.791145
114824c,63.37244
114901a,88.21267
114902c,249.36465
114903c,81.359245
114934c,87.939186
114937c,70.88274
114947c,82.73374
114990c,300.7397
114991c,68.56089
114993c,112.1706
114999c,59.979385
115011c,66.69906
115014c,218.65005
115016c,77.66138
115038c,88.98604
115039c,62.77806
115040c,64.39737
115084c,78.30182
115125c,60.447884
115126c,85.32211
115127c,69.97239
115142c,74.57535
115146c,63.572937
115147c,912.94354
115157c,54.973854
115158c,76.773186
115159c,87.98545
115177c,89.131004
115189c,86.86661
115190c,772.03375
115191c,65.67255
115194c,56.801933
115196c,74.623146
115198c,68.38698
115199c,77.9668
115200c,72.34293
115201c,32.610065
115210c,80.74525
115211c,93.77178
115214c,64.4101
115223c,67.908714
115224c,50.56312
115227c,87.15056
115230c,138.87512
115232c,85.19254
115234c,24.224283
115235c,139.48741
115236c,64.27607
115237c,60.58884
115251c,663.7503
115252c,96.64792
115253c,54.207355
115254c,117.87937
115255c,713.42267
115256c,68.8849
115257c,60.4603
115262c,95.82504
115263c,64.50697
115264c,38.189945
115266c,313.86615
115268c,75.75768
115269c,81.62895
115270c,56.204296
115274c,90.89659
115275c,75.867035
115279c,97.71122
115280c,81.27983
115285c,94.67133
115286c,102.02552
115288c,119.010315
115290c,116.34406
115291c,96.431076
115298c,61.47562
115300c,100.94778
115301c,50.62302
115308c,85.84378
115309c,72.384384
115312c,68.54677
115319c,87.66239
115325c,46.837536
115326c,140.35583
115335c,103.60505
115336c,98.940125
115338c,53.749912
115340c,114.16146
115342c,92.1534
115353c,110.37725
115358c,81.466484
115361c,66.01167
115363c,448.41785
115371c,87.3698
115373c,93.71223
115375c,95.917725
115376c,133.46724
115379c,79.119545
115386c,118.2973
115388c,85.668175
115390c,91.28697
115392c,77.866776
115394c,-3.47703
115401c,91.64818
115402c,93.379295
115403c,60.88326
115408c,84.20674
115409c,74.791
115415c,95.26784
115416c,59.96597
115418c,68.28952
115419c,103.16196
115421c,55.88243
115423c,65.56887
115426c,65.05226
115427c,72.714134
115437c,55.28482
115440c,72.779564
115441c,66.317795
115442c,135.84305
115443c,66.939514
115445c,93.684494
115447c,263.94473
115448c,96.20374
115453c,69.746315
115454c,110.41251
115455c,174.08597
115456c,71.447464
115460c,55.07237
115461c,60.019108
115465c,141.46931
115466c,86.73481
115468c,83.98498
115470c,83.199326
115471c,64.66423
115472c,63.208668
115474c,120.70854
115478c,81.158554
115479c,70.13517
115480c,118.540855
115483c,93.70308
115484c,96.015755
115486c,141.65901
115489c,49.75707
115502c,92.33784
115504c,58.870052
115505c,77.6041
115506c,93.72981
115508c,346.92676
115509c,68.19702
115517c,59.339634
115519c,59.0892
115520c,83.245
115521c,68.85961
115526c,70.30821
115528c,90.679665
115529c,91.94098
115530c,74.540955
115531c,92.32232
115537c,53.34805
115538c,54.466625
115539c,74.67861
115540c,-4.363989
115541c,38.80624
115542c,90.26316
115543c,60.6417
115544c,96.02651
115545c,306.58698
115546c,1079.3846
115549c,241.13972
115550c,73.975975
115552c,45.179817
115553c,59.702076
115554c,82.81333
115563c,67.17639
115573c,94.53425
115575c,100.64617
115577c,82.3947
115579c,84.75855
115583c,21.360853
115585c,50.113804
115640a,79.96013
115697a,21.828533
115981a,137.651
118102a,60.3825
118103a,128.70152
118104a,56.20101
118106a,181.84491
118107a,857.33813
118108a,57.148438
118109a,95.89325
118110a,78.396935
118115a,45.978577
118116a,71.93463
118118a,71.200035
118119a,44.257343
118120a,382.16147
118121a,540.5923
118129a,83.60894
118131a,62.75435
118135a,66.64523
118139a,64.53646
118141a,57.179226
118152a,639.3138
118153a,59.927746
118154a,269.62292
118156a,51.034397
118158a,56.68432
118167a,58.30286
118173a,69.83011
118182a,95.75822
118185a,54.429184
118197a,55.26876
118199a,81.21993
118202a,80.03037
118203a,63.671005
118204a,101.26425
118206a,79.26155
118207a,151.62726
118208a,79.30107
118210a,104.02334
118211a,218.92337
118273a,600.03595
118274a,681.6948
118275a,71.15328
118277a,44.36278
118278a,58.400074
118279a,78.65189
118282a,60.744247
118285a,70.08206
118293a,133.27759
118300a,67.71861
118304a,240.73572
118306a,73.78546
118308a,67.48939
118326a,80.88323
118328a,62.334747
118329a,78.637856
118330a,80.3583
118331a,74.114746
118332a,823.85913
118336a,63.642303
118337a,206.32065
118341a,66.51458
118344a,43.167915
118345a,641.183
118346a,84.409706
118352a,80.16876
118359a,57.606087
118550a,61.28792
118554a,71.13849
118562a,151.94171
118564a,85.96606
118565a,96.45094
118570a,191.04161
118571a,43.227287
118572a,77.044556
118573a,284.64902
118575a,683.58813
118577a,72.54539
118578a,1149.004
118579a,81.512146
118586a,52.412903
118601a,103.049
118608a,57.818348
118609a,85.932335
118610a,81.148026
118707a,79.216835
118710a,89.09779
118712a,109.15241
118713a,157.78716
118714a,55.804806
118715a,72.570984
118717a,62.384544
118718a,65.52819
118719a,76.99832
118720a,73.7214
118721a,60.216633
118726a,64.102036
118727a,76.34758
118729a,241.98592
118730a,75.6895
118733a,1020.61743
118740a,1154.9937
118742a,1062.5332
118791a,72.401596
118794a,120.423164
118795a,123.78714
118801a,79.26709
118807a,61.386024
118808a,80.43305
118809a,31.550589
118824a,120.64093
118825a,91.010284
118826a,34.586216
118827a,71.13605
118829a,488.37524
118830a,564.2787
118831a,302.3292
118833a,101.18038
118834a,114.451454
118836a,100.16961
118931a,28.110537
118956a,92.08084
119009a,546.6239
119010a,87.63126
119011a,79.02127
119051a,9.408132
119057a,80.23254
119058a,494.7792
119059a,51.248684
119065a,85.074135
119066a,46.866386
119071a,449.2178
119078a,68.02418
119079a,30.513952
119082a,196.92224
119128a,89.607056
119131a,59.57143
119133a,490.2567
119135a,56.37589
119147a,106.8485
119158a,547.84204
119273a,22.989567
119275a,164.60071
119278a,80.80867
119287a,109.648346
119288a,62.842907
119289a,69.64509
119292a,921.8548
119296a,56.01716
119297a,114.26469
119299a,53.957645
119300a,76.0376
119307a,71.33876
119308a,1234.2487
119309a,494.18903
119310a,458.8389
119314a,26.324423
119326a,220.82365
119333a,802.33673
119335a,70.845055
119342a,128.23373
119361a,76.58284
119362a,232.79459
119363a,1132.9185
119378a,66.25412
119379a,81.28859
119387a,86.149765
119388a,63.851128
119393a,310.86575
119394a,99.241234
119395a,105.233765
119396a,95.43201
119397a,91.13935
119401a,112.85654
119404a,52.84136
119406a,1291.2772
119407a,55.45536
119408a,713.3498
119409a,86.47982
119418a,430.50293
119419a,4.220235
119420a,73.857056
119428a,129.54877
119432a,137.00705
119436a,77.11055
119443a,59.347404
119444a,223.82909
119445a,83.41142
119447a,138.71983
119448a,137.19756
119455a,50.991352
119456a,72.619
119509a,100.54439
119511a,11.628245
119517a,59.34875
119519a,48.707157
119522a,75.28714
119523a,52.311085
119528a,70.23748
119530a,30.783413
119533a,25.059126
119534a,102.9045
119542a,68.27561
119543a,171.24155
119545a,309.95728
119547a,59.684803
119554a,845.2211
119555a,26.92605
119556a,37.36855
119557a,87.78878
119560a,61.514202
119561a,11.525636
119562a,567.6659
119563a,47.73761
119565a,89.27174
119567a,65.14565
119568a,835.33746
119569a,65.82654
119570a,86.50907
119572a,30.891928
119573a,64.41771
119574a,38.315704
119576a,326.87668
119577a,63.816345
119579a,58.412975
119632a,61.763626
119635a,67.50957
119636a,33.09576
119639a,110.668755
119640a,83.00079
119643a,165.84027
119647a,80.9824
119651a,308.19186
119652a,87.37565
119653a,1121.6641
119654a,274.0932
119655a,1115.7102
119657a,114.81174
119661a,65.94082
119662a,66.132095
119663a,77.9601
119666a,117.88746
119667a,96.87378
119677a,78.35944
119679a,161.21608
119683a,417.62164
119684a,48.13128
119687a,82.685616
119689a,80.93212
119691a,82.7426
119697a,54.68248
119698a,77.90757
119700a,56.50139
119701a,61.311066
119702a,88.49663
119703a,249.92693
119704a,38.56563
119705a,1144.1917
119706a,84.1142
119711a,68.46681
119712a,66.29766
119713a,73.75138
119733a,81.09337
119734a,67.545555
119738a,272.25818
119803a,79.205215
119807a,601.2777
119828a,18.063562
119830a,41.366833
119831a,180.1665
119832a,85.48729
119833a,67.71772
119838a,79.51769
119839a,101.8204
119842a,41.523922
119843a,835.0379
119844a,86.87759
119847a,57.960922
119851a,102.26366
119853a,44.845306
119854a,40.775333
119855a,66.151505
119856a,46.678562
119857a,653.60675
119868a,97.8431
119885a,99.6916
119951a,69.22789
119952a,80.88098
119953a,72.85324
119956a,621.0171
119957a,61.46108
119959a,78.08869
119962a,63.136974
119963a,33.28621
119966a,93.54885
119969a,43.65128
119971a,175.71057
119972a,60.348797
120028a,72.919106
120032a,69.89728
120034a,82.07797
120038a,116.65698
120046a,81.7519
120047a,55.508114
120048a,230.69199
120050a,67.669334
120051a,73.78546
120053a,72.41152
120056a,1086.7303
120061a,15.98707
120063a,63.19312
120064a,53.788673
120163a,83.682205
120168a,95.000244
120176a,51.864754
120179a,123.27429
120180a,51.340454
120181a,730.9949
120187a,104.85826
120188a,82.04377
120191a,48.0989
120195a,37.945538
120196a,68.382545
120197a,127.96545
120202a,44.748875
120204a,95.11427
120206a,30.39808
120211a,62.379177
120212a,72.09204
120213a,86.2593
120229a,64.448265
120236a,90.20376
120241a,53.705948
120242a,149.91809
120248a,105.24359
120249a,66.07239
120251a,69.74727
120258a,87.241905
120259a,87.19531
120261a,30.96671
120264a,74.920784
120275a,49.958
120277a,68.70436
120280a,38.395523
120281a,68.05156
120282a,86.73732
120283a,189.62895
120285a,76.40612
120288a,19.6147
120289a,74.89718
120290a,64.806526
120291a,66.42869
120292a,66.448975
120293a,93.31378
120294a,68.20112
120296a,54.660854
120297a,320.23068
120298a,54.23676
120299a,105.75554
120305a,70.65397
120307a,73.82995
120308a,41.25461
120311a,76.02873
120315a,335.46515
120316a,321.0682
120318a,288.46024
120321a,51.139908
120323a,85.31917
120339a,64.45512
120392a,68.35976
120393a,85.227264
120394a,76.897736
120400a,68.988174
120407a,107.185196
120408a,96.025475
120411a,90.611176
120416a,64.15405
120422a,315.53757
120423a,95.880196
120424a,88.0207
120425a,1085.3531
120428a,10.437479
120429a,32.851097
120430a,41.50197
120432a,121.310036
120435a,82.93884
120441a,132.62773
120442a,83.92559
120445a,817.39606
120446a,83.14012
120452a,72.9071
120532a,62.100887
120536a,150.48451
120537a,85.7765
120539a,81.54052
120545a,69.577286
120546a,1095.4343
120547a,69.25971
120560a,152.15892
120562a,206.32065
120563a,69.17821
120565a,59.870907
120605a,39.14228
120606a,88.875595
120607a,138.33733
120608a,59.64694
120610a,57.38623
120611a,53.642838
120613a,294.60037
120614a,50.804523
120655a,137.75752
120662a,211.82213
120681a,38.752453
120683a,83.440186
120684a,70.050316
120687a,63.88447
120688a,63.66167
120689a,51.841244
120699a,56.84316
120703a,56.375248
120708a,76.69613
120716a,85.51568
120719a,134.03746
120724a,96.18466
120725a,437.3544
120728a,55.82807
120730a,72.47715
120732a,600.8664
120745a,59.419662
120747a,57.924767
120749a,315.53757
120752a,185.67569
120753a,1183.5939
120754a,87.03634
120756a,70.216965
120766a,57.19406
120771a,1049.3724
120772a,71.93316
120802a,52.07452
120803a,81.48918
120804a,90.4879
120805a,79.68524
120806a,91.175896
120807a,122.69125
120808a,120.136665
120810a,177.68584
120813a,632.0069
120814a,356.96558
120820a,55.33337
120822a,258.68164
120823a,70.93549
120895a,50.35343
120896a,193.53035
120897a,683.7288
120899a,96.8941
120906a,59.324436
120923a,88.84181
120924a,48.76785
120925a,351.05878
120926a,77.29955
120927a,60.432125
120932a,276.89496
120933a,62.75435
120938a,134.62093
120940a,108.5095
120941a,82.50502
120942a,278.20084
120945a,50.003056
120946a,72.22817
120950a,87.939186
120954a,90.98458
120962a,56.799564
120964a,82.0097
120965a,10.117206
120966a,99.11866
120967a,51.59041
120972a,88.756065
120979a,1088.5054
120980a,168.84477
120981a,63.8038
120982a,127.091225
121087a,77.80328
121089a,166.97871
121091a,90.40633
121092a,28.960772
121093a,846.0845
121094a,40.961113
121100a,40.277943
121101a,107.806915
121119a,62.918663
121120a,135.679
121121a,70.25076
121123a,79.51198
121124a,87.70336
121129a,86.89874
121130a,68.32873
121132a,86.52831
121135a,56.198414
121137a,134.06177
121138a,63.401203
121141a,123.12517
121142a,69.930534
121144a,63.762844
121150a,53.555
121151a,74.8962
121154a,56.571014
121155a,99.57759
121157a,57.460236
121158a,87.98742
121163a,63.25958
121166a,69.317825
121167a,31.802458
121168a,750.97565
121172a,89.240814
121174a,82.653885
121175a,61.73947
121179a,88.35893
